app,a,b,c
66185,18321.874770666273,0.4767565010444735,0
66442,4144.870792248901,0.9523094095406093,0
65805,4653275.167064934,-0.21176359316394647,0
65807,1111193.3605226837,0.5712965682032523,0
66324,25835.193933711253,0.9357425867335188,0
66455,1063209.9018545644,0.08161721904592092,0
66333,26121.547534030564,0.8384196286163446,0
66208,97183.2164707177,0.3657291044363314,0
66343,5297.218684465933,1.2623543588308808,0
65834,4225.608268377652,0.9402486492101663,0
66099,505697.1893740407,0.07340717338148388,0
66361,232947.48716703133,0.30247890478473854,0
66373,437063.95178951835,0.2957305552022812,0
65734,268388.77061080566,0.17508919438522969,0
65737,12382.978597478366,0.752897423580003,0
66378,94.82029794322324,1.8868550054108506,0
66635,4054.3330794687354,1.2741758494035231,0
66257,655260.7588943491,0.20021347882588725,0
66391,54217.09811102232,0.3638423659343963,0
66012,5880.461566988878,0.8372949418601002,0
65760,2838078.0406058026,0.2727662135805869,0
65759,2531769.6616885248,0.01781401811178284,0
65762,28204.820132671204,0.56019261641451,0
66276,678940.4823999646,0.4142033519896941,0
66536,11737.669932902572,1.2879440159292828,0
66026,67613.90505383958,0.1599722208674536,0
66539,16423.009326082945,0.6577814100784818,0
66415,35744.69154998856,1.012455930495193,0
65647,28179.34443355724,0.632708567609337,0
65648,231703.1765107912,0.2662026852170864,0
66422,734.1026831082884,1.4499999999999997,0
